customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn Prediction,Churn Probability,Risk Score,Risk Level,Prediction Method,Customer Risk Score,Customer Value,Strategic Segment,Retention Priority,Priority Rank,Revenue At Risk,Recommended Action,Retention Recommendation,Retention Urgency Score,Recommended Channel
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,0,Churn,61.98,61.98,High,Existing ChurnIQ ML Model,66.17,29.85,Standard Customer,High,1406,18.5,Review payment experience and offer an easier payment option.,Improve payment convenience and provide targeted engagement.,46.41,Targeted Campaign
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,0,Retained,5.39,5.39,Low,Existing ChurnIQ ML Model,17.28,1889.5,Loyal Customer,Low,3817,101.84,Maintain service quality and reward customer loyalty.,"Focus on loyalty, advocacy and long-term value.",12.62,Standard Engagement
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,1,Churn,72.7,72.7,High,Existing ChurnIQ ML Model,72.45,108.15,Standard Customer,High,1093,78.63,Launch an early-tenure onboarding and engagement campaign.,Strengthen onboarding to prevent early customer churn.,51.12,Targeted Campaign
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,0,Retained,5.36,5.36,Low,Existing ChurnIQ ML Model,14.57,1840.75,Loyal Customer,Low,3999,98.66,Maintain service quality and reward customer loyalty.,"Focus on loyalty, advocacy and long-term value.",10.7,Standard Engagement
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,1,Churn,84.17,84.17,Critical,Existing ChurnIQ ML Model,84.82,151.65,Critical Retention,Immediate,446,127.64,Offer a personalized contract upgrade or retention incentive.,Immediate intervention with a targeted retention offer.,60.03,Personal Outreach
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,1,Churn,95.96,95.96,Critical,Existing ChurnIQ ML Model,94.54,820.5,Critical Retention,Immediate,18,787.35,Offer a personalized contract upgrade or retention incentive.,Immediate intervention with a targeted retention offer.,70.21,Personal Outreach
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,0,Churn,64.02,64.02,High,Existing ChurnIQ ML Model,66.4,1949.4,Standard Customer,High,1394,1248.01,Provide personalized service outreach and retention incentives.,Proactive customer engagement is recommended.,52.86,Targeted Campaign
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,0,Retained,31.92,31.92,Medium,Existing ChurnIQ ML Model,40.87,301.9,Standard Customer,Monitor,2498,96.37,Monitor behavior and provide proactive customer engagement.,Customer should remain under regular retention monitoring.,29.1,Email / In-App
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,1,Churn,83.44,83.44,Critical,Existing ChurnIQ ML Model,83.41,3046.05,Critical Retention,Immediate,526,2541.62,Offer a personalized contract upgrade or retention incentive.,Immediate intervention with a targeted retention offer.,71.39,Personal Outreach
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,0,Retained,6.66,6.66,Low,Existing ChurnIQ ML Model,14.22,3487.95,Loyal Customer,Low,4019,232.3,Maintain service quality and reward customer loyalty.,"Focus on loyalty, advocacy and long-term value.",11.14,Standard Engagement
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,0,Retained,17.49,17.49,Medium,Existing ChurnIQ ML Model,31.96,587.45,Standard Customer,Monitor,2974,102.75,Monitor behavior and provide proactive customer engagement.,Customer should remain under regular retention monitoring.,22.9,Email / In-App
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,0,Retained,2.41,2.41,Low,Existing ChurnIQ ML Model,12.57,326.8,Loyal Customer,Low,4149,7.88,Maintain service quality and reward customer loyalty.,"Focus on loyalty, advocacy and long-term value.",8.84,Standard Engagement
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,0,Retained,28.67,28.67,Medium,Existing ChurnIQ ML Model,33.7,5681.1,Stable Valuable,Monitor,2873,1628.77,Monitor behavior and provide proactive customer engagement.,Customer should remain under regular retention monitoring.,31.92,Email / In-App
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,Churn,79.93,79.93,High,Existing ChurnIQ ML Model,74.95,5036.3,High Value At Risk,High,961,4025.51,Provide personalized service outreach and retention incentives.,Proactive customer engagement is recommended.,73.06,Targeted Campaign
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,0,Churn,67.08,67.08,High,Existing ChurnIQ ML Model,72.43,2686.05,Standard Customer,High,1094,1801.8,Review payment experience and offer an easier payment option.,Improve payment convenience and provide targeted engagement.,59.92,Targeted Campaign
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,0,Retained,4.37,4.37,Low,Existing ChurnIQ ML Model,14.09,7895.15,Loyal Customer,Low,4029,345.02,Maintain service quality and reward customer loyalty.,"Focus on loyalty, advocacy and long-term value.",11.63,Standard Engagement
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,0,Retained,2.35,2.35,Low,Existing ChurnIQ ML Model,9.76,1022.95,Loyal Customer,Low,4377,24.04,Maintain service quality and reward customer loyalty.,"Focus on loyalty, advocacy and long-term value.",6.95,Standard Engagement
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,0,Retained,18.4,18.4,Low,Existing ChurnIQ ML Model,23.11,7382.25,Loyal Customer,Low,3484,1358.33,Maintain service quality and reward customer loyalty.,"Focus on loyalty, advocacy and long-term value.",23.13,Standard Engagement
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,1,Retained,35.11,35.11,Medium,Existing ChurnIQ ML Model,45.13,528.35,Standard Customer,Monitor,2312,185.5,Monitor behavior and provide proactive customer engagement.,Customer should remain under regular retention monitoring.,32.54,Email / In-App
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,0,Churn,61.0,61.0,High,Existing ChurnIQ ML Model,67.5,1862.9,Standard Customer,High,1342,1136.37,Review payment experience and offer an easier payment option.,Improve payment convenience and provide targeted engagement.,53.06,Targeted Campaign
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,1,Churn,96.28,96.28,Critical,Existing ChurnIQ ML Model,90.96,39.65,Critical Retention,Immediate,146,38.18,Offer a personalized contract upgrade or retention incentive.,Immediate intervention with a targeted retention offer.,63.87,Personal Outreach
