customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn Prediction,Churn Probability,Risk Score,Risk Level,Customer Risk Score,Customer Tenure Months,Monthly Charge Value,Total Customer Value,Customer Risk Segment,Tenure Segment,Spending Segment,Customer Value Segment,Strategic Segment
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,0,Churn,61.98,61.98,High,61.98,1,29.85,29.85,High,New Customer,Low Value,Low Value,New Customer At-Risk
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,0,Retained,5.39,5.39,Low,5.39,34,56.95,1889.5,Low,Established Customer,Medium Value,Medium Value,Stable Customer
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,1,Churn,72.7,72.7,High,72.7,2,53.85,108.15,High,New Customer,Medium Value,Low Value,New Customer At-Risk
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,0,Retained,5.36,5.36,Low,5.36,45,42.3,1840.75,Low,Established Customer,Medium Value,Medium Value,Stable Customer
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,1,Churn,84.17,84.17,Critical,84.17,2,70.7,151.65,Critical,New Customer,Medium Value,Low Value,Critical At-Risk
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,1,Churn,95.96,95.96,Critical,95.96,8,99.65,820.5,Critical,Developing Customer,High Value,Low Value,Critical High-Value
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,0,Churn,64.02,64.02,High,64.02,22,89.1,1949.4,High,Developing Customer,High Value,Medium Value,High-Value At-Risk
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,0,Retained,31.92,31.92,Medium,31.92,10,29.75,301.9,Medium,Developing Customer,Low Value,Low Value,Watchlist Customer
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,1,Churn,83.44,83.44,Critical,83.44,28,104.8,3046.05,Critical,Established Customer,High Value,High Value,Critical High-Value
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,0,Retained,6.66,6.66,Low,6.66,62,56.15,3487.95,Low,Loyal Customer,Medium Value,High Value,Loyal Customer
